Date,Volume,Volume_std,Index_ROC,Close,close_std_sp500-F,close_m_sp500-F
2013-5-13,1328925,-0.025669227,0.08,1630.75,-0.139584763,32.615
2013-5-14,2018666,0.808983197,1.06,1648,-0.11842677,32.96
2013-5-15,2123306,0.935607582,0.38,1654.25,-0.11076083,33.085
2013-5-16,1920088,0.689694411,-0.38,1648,-0.11842677,32.96
2013-5-17,1923927,0.694339967,0.91,1663,-0.100028515,33.26
2013-5-20,1749840,0.483678086,0.09,1664.5,-0.098188689,33.29
2013-5-21,1694697,0.416949795,0.06,1665.5,-0.096962139,33.31
2013-5-22,2970647,1.960971043,-0.6,1655.5,-0.109227642,33.11
2013-5-23,2681434,1.610995717,-0.33,1650,-0.115973669,33
2013-5-24,1950868,0.726941148,0.03,1650.5,-0.115360394,33.01
2013-5-28,2091551,0.897181002,0.24,1654.5,-0.110454193,33.09
2013-5-29,2129262,0.94281491,-0.45,1647,-0.11965332,32.94
2013-5-30,1773923,0.512820814,0.39,1653.5,-0.111680743,33.07
2013-5-31,2559471,1.46340885,-1.48,1629,-0.141731227,32.58
2013-6-3,2530617,1.428492757,0.45,1636.25,-0.132838737,32.725
2013-6-4,2173999,0.996950949,-0.31,1631.25,-0.138971488,32.625
2013-6-5,2648546,1.571198099,-1.43,1608,-0.167488784,32.16
2013-6-6,2796168,1.749834805,0.92,1622.75,-0.149397166,32.455
2013-6-7,2382985,1.24984395,0.97,1638.5,-0.130078998,32.77
2013-6-10,1820611,0.569317749,0.21,1642,-0.125786072,32.84
2013-6-11,2590976,1.501532906,-0.91,1627,-0.144184327,32.54
2013-6-12,2600131,1.512611329,-1.04,1610,-0.165035683,32.2
2013-6-13,2359119,1.220963813,1.66,1636.75,-0.132225461,32.735
2013-6-14,1040616,-0.374550627,-0.76,1624.25,-0.147557341,32.485
2013-6-17,893732,-0.552294282,0.95,1639.75,-0.12854581,32.795
2013-6-18,739743,-0.738635665,0.69,1651,-0.114747119,33.02
2013-6-19,589660,-0.920250416,-1.3,1629.5,-0.141117951,32.59
2013-6-20,639744,-0.859643997,-2.39,1590.5,-0.188953415,31.81
2013-6-21,2982380,1.975169093,0.64,1600.75,-0.176381274,32.015
2013-6-24,2848089,1.812664169,-2.16,1566.25,-0.21869726,31.325
2013-6-25,2020973,0.811774887,0.97,1581.5,-0.199992368,31.63
2013-6-26,1731510,0.461497037,0.89,1595.5,-0.182820663,31.91
2013-6-27,1601032,0.303606207,0.69,1606.5,-0.169328609,32.13
2013-6-28,2143749,0.960345562,-0.45,1599.25,-0.178221099,31.985
2013-7-1,1551011,0.243076024,0.47,1606.75,-0.169021972,32.135
2013-7-2,1670998,0.388271743,0.03,1607.25,-0.168408696,32.145
2013-7-5,1721212,0.449035475,1.24,1627.25,-0.14387769,32.545
2013-7-8,1317337,-0.039691812,0.51,1635.5,-0.133758649,32.71
2013-7-9,1281034,-0.083621906,0.61,1645.5,-0.121493146,32.91
2013-7-10,1460004,0.132948871,0.18,1648.5,-0.117813495,32.97
2013-7-11,1457417,0.129818354,1.3,1670,-0.091442663,33.4
2013-7-12,1144481,-0.248864066,0.01,1670.25,-0.091136025,33.405
2013-7-15,911484,-0.530812668,0.43,1677.5,-0.082243535,33.55
2013-7-16,1171424,-0.216260465,-0.37,1671.25,-0.089909475,33.425
2013-7-17,1413187,0.076295833,0.25,1675.5,-0.084696636,33.51
2013-7-18,1355890,0.006960996,0.3,1680.5,-0.078563884,33.61
2013-7-19,1145886,-0.247163882,0.54,1689.5,-0.067524931,33.79
2013-7-22,900143,-0.54453636,0.04,1690.25,-0.066605018,33.805
2013-7-23,979783,-0.448164361,-0.12,1688.25,-0.069058119,33.765
2013-7-24,1508386,0.191495707,-0.27,1683.75,-0.074577595,33.675
2013-7-25,1425052,0.090653616,0.01,1684,-0.074270958,33.68
2013-7-26,1400373,0.060789671,0.15,1686.5,-0.071204582,33.73
2013-7-29,1100568,-0.302002986,-0.24,1682.5,-0.076110783,33.65
2013-7-30,1318504,-0.038279631,0.13,1684.75,-0.073351045,33.695
2013-7-31,1981532,0.764047514,-0.25,1680.5,-0.078563884,33.61
2013-8-1,1517822,0.202914167,1.18,1700.25,-0.054339515,34.005
2013-8-2,1216474,-0.161745667,0.22,1704,-0.049739951,34.08
2013-8-5,856742,-0.597055712,-0.09,1702.5,-0.051579776,34.05
2013-8-6,1273487,-0.092754497,-0.5,1694,-0.062005454,33.88
2013-8-7,1384518,0.041603608,-0.34,1688.25,-0.069058119,33.765
2013-8-8,1522504,0.208579834,0.33,1693.75,-0.062312092,33.875
