Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,spindex_close_adjusted,spindex_volume_adjusted
2018-04-24,2680.800049,2683.550049,2617.320068,2634.560059,3706740000,0,0,1.111477143,0.327508427
2018-04-25,2634.919922,2645.300049,2612.669922,2639.399902,3499440000,0,0,1.117486275,0.190902866
2018-04-26,2651.649902,2676.47998,2647.159912,2666.939941,3665720000,0,0,1.151679887,0.300477264
2018-04-27,2675.469971,2677.350098,2659.01001,2669.909912,3219030000,0,0,1.155367392,0.006119626
2018-04-30,2682.51001,2682.870117,2648.040039,2648.050049,3734530000,0,0,1.128226266,0.345821348
2018-05-01,2642.959961,2655.27002,2625.409912,2654.800049,3559850000,0,0,1.136607041,0.230711558
2018-05-02,2654.23999,2660.870117,2631.699951,2635.669922,4010770000,0,0,1.112855145,0.527856661
2018-05-03,2628.080078,2637.139893,2594.620117,2629.72998,3851470000,0,0,1.105480135,0.42288191
2018-05-04,2621.449951,2670.929932,2615.320068,2663.419922,3327220000,0,0,1.147309444,0.077414154
2018-05-07,2680.340088,2683.350098,2664.699951,2672.629883,3237960000,0,0,1.158744498,0.018594027
2018-05-08,2670.26001,2676.340088,2655.199951,2671.919922,3717570000,0,0,1.157863013,0.334645129
2018-05-09,2678.120117,2701.27002,2674.139893,2697.790039,3909500000,0,0,1.189983257,0.461122241
2018-05-10,2705.02002,2726.110107,2704.540039,2723.070068,3333050000,0,0,1.221370849,0.08125598
2018-05-11,2722.699951,2732.860107,2717.449951,2727.719971,2862700000,0,0,1.227144152,-0.228693012
2018-05-14,2738.469971,2742.100098,2725.469971,2730.129883,2972660000,0,0,1.23013629,-0.156232097
2018-05-15,2718.590088,2718.590088,2701.909912,2711.449951,3290680000,0,0,1.206943354,0.0533352
2018-05-16,2712.620117,2727.76001,2712.169922,2722.459961,3202670000,0,0,1.220613342,-0.004661208
2018-05-17,2719.709961,2731.959961,2711.360107,2720.129883,3475400000,0,0,1.217720326,0.175061101
2018-05-18,2717.350098,2719.5,2709.179932,2712.969971,3368690000,0,0,1.208830605,0.104741856
2018-05-21,2735.389893,2739.189941,2725.699951,2733.01001,3019890000,0,0,1.233712245,-0.125108698
2018-05-22,2738.340088,2742.23999,2721.879883,2724.439941,3366310000,0,0,1.223071678,0.103173495
2018-05-23,2713.97998,2733.330078,2709.540039,2733.290039,3326290000,0,0,1.234059928,0.076801307
2018-05-24,2730.939941,2731.969971,2707.379883,2727.76001,3256030000,0,0,1.227193864,0.030501709
2018-05-25,2723.600098,2727.360107,2714.98999,2721.330078,2995260000,0,0,1.219210484,-0.141339257
2018-05-29,2705.110107,2710.669922,2676.810059,2689.860107,3736890000,0,0,1.180137482,0.34737653
2018-05-30,2702.429932,2729.340088,2702.429932,2724.01001,3561050000,0,0,1.222537878,0.231502328
2018-05-31,2720.97998,2722.5,2700.679932,2705.27002,4235370000,0,0,1.199270374,0.675862494
2018-06-01,2718.699951,2736.929932,2718.699951,2734.620117,3684130000,0,0,1.235711348,0.312608998
2018-06-04,2741.669922,2749.159912,2740.540039,2746.870117,3376510000,0,0,1.250920903,0.109895043
2018-06-05,2748.459961,2752.610107,2739.51001,2748.800049,3517790000,0,0,1.2533171,0.202995061
2018-06-06,2753.25,2772.389893,2748.459961,2772.350098,3651640000,0,0,1.282556755,0.291198893
2018-06-07,2774.840088,2779.899902,2760.159912,2770.370117,3711330000,0,0,1.280098418,0.330533123
2018-06-08,2765.840088,2779.389893,2763.590088,2779.030029,3123210000,0,0,1.290850533,-0.057023379
2018-06-11,2780.179932,2790.209961,2780.169922,2782,3232330000,0,0,1.294538039,0.014883996
